"Small Business Profiles :  Financial ratios,  unincorporated and total businesses, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Interest coverage ratio (times),"Interest coverage ratio (times), first quartile","Interest coverage ratio (times), second quartile","Interest coverage ratio (times), third quartile","Interest coverage ratio (times), fourth quartile",Gross margin (%),"Gross margin (%), first quartile","Gross margin (%), second quartile","Gross margin (%), third quartile","Gross margin (%), fourth quartile"
102,11,"Agriculture, forestry, fishing and hunting",49,Prairies,2,Urban,3,All businesses,2017,-4,-13.5,-3.5,5.5,24.2,94.8,98.7,96.3,86.4,97.1
103,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,1,Rural,1,Unincorporated,2017,17.2,-0.3,11.6,22.7,101.4,84.3,75.6,77.4,93.8,99.5
104,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,1,Rural,3,All businesses,2017,-2.9,-9.9,-3.6,2.5,19.4,95.9,99.6,99,89,96.1
105,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,2,Urban,1,Unincorporated,2017,21.4,-2.5,12.2,27.4,740.4,71.9,46.2,69.3,92.7,97.9
106,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,2,Urban,3,All businesses,2017,-4,-15.9,-3.6,2.3,17.8,94.7,98.8,99.1,88.7,89
107,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,1,Rural,1,Unincorporated,2017,17.5,0.7,14.3,80.5,37301.6,78.3,65.9,84.6,95.9,99.9
108,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,1,Rural,3,All businesses,2017,-4.6,-13.1,-6,1.2,21.4,98.8,99.7,99.7,97.1,98.7
109,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,2,Urban,1,Unincorporated,2017,25.4,-2.4,35,110.8,X,72,47.1,78.1,92.2,100
110,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,2,Urban,3,All businesses,2017,-4.7,-12.8,-5.1,4,32.5,95.4,98.2,97.3,88.7,96.6
111,11,"Agriculture, forestry, fishing and hunting",48,Alberta,1,Rural,1,Unincorporated,2017,14.5,0.5,13.6,55.5,308.8,80.6,65.1,89.6,95.3,99.9
112,11,"Agriculture, forestry, fishing and hunting",48,Alberta,1,Rural,3,All businesses,2017,-4,-14.7,-4.1,2.8,20,97.7,99.5,98.5,94.3,98.3
113,11,"Agriculture, forestry, fishing and hunting",48,Alberta,2,Urban,1,Unincorporated,2017,24.3,1,21.2,119.3,893.7,83.2,67.5,81.6,96.2,99.8
114,11,"Agriculture, forestry, fishing and hunting",48,Alberta,2,Urban,3,All businesses,2017,-3.6,-13.6,-2.6,7,21.6,94.5,98.9,94.3,86.5,97.9
115,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,1,Rural,1,Unincorporated,2017,27.5,2.5,22.6,74.5,1065.4,83.1,69.8,85.2,95.3,99.9
116,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,1,Rural,3,All businesses,2017,5,-6,4.6,24,106.6,81,82.6,69.3,86.2,96.3
117,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,2,Urban,1,Unincorporated,2017,40.7,3.7,31.9,140.1,1212.5,87.6,75.2,89.8,96.6,99.8
118,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,2,Urban,3,All businesses,2017,0.2,-7.8,2.7,16.9,70.5,81.5,90.2,66.2,81.8,97.8
119,11,"Agriculture, forestry, fishing and hunting",63,Territories,1,Rural,1,Unincorporated,2017,1411,106,2187,X,X,93,79.1,96.3,100,100
120,11,"Agriculture, forestry, fishing and hunting",63,Territories,1,Rural,3,All businesses,2017,79.1,-160.4,32.3,X,X,73.3,57.8,74.3,100,100
121,11,"Agriculture, forestry, fishing and hunting",63,Territories,2,Urban,1,Unincorporated,2017,9.6,X,X,X,X,88.4,X,X,X,X
122,11,"Agriculture, forestry, fishing and hunting",63,Territories,2,Urban,3,All businesses,2017,2.8,-1.5,3,54.5,15.5,85.9,51.9,100,93,88.3
123,11,"Agriculture, forestry, fishing and hunting",60,Yukon,1,Rural,1,Unincorporated,2017,X,X,X,X,X,X,X,X,X,X
124,11,"Agriculture, forestry, fishing and hunting",60,Yukon,1,Rural,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
125,11,"Agriculture, forestry, fishing and hunting",60,Yukon,2,Urban,1,Unincorporated,2017,X,X,X,X,X,X,X,X,X,X
126,11,"Agriculture, forestry, fishing and hunting",60,Yukon,2,Urban,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
127,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,1,Rural,1,Unincorporated,2017,X,X,X,X,X,X,X,X,X,X
128,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,1,Rural,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
129,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,2,Urban,1,Unincorporated,2017,X,X,X,X,X,X,X,X,X,X
130,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,2,Urban,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
131,11,"Agriculture, forestry, fishing and hunting",62,Nunavut,1,Rural,1,Unincorporated,2017,X,X,X,X,X,X,X,X,X,X
132,11,"Agriculture, forestry, fishing and hunting",62,Nunavut,1,Rural,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
133,111,Crop production,0,Canada,1,Rural,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
134,111,Crop production,0,Canada,1,Rural,3,All businesses,2017,-3.5,-11.4,-4.9,0.8,15.6,98.2,99.3,99.4,96.4,97.5
135,111,Crop production,0,Canada,2,Urban,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
136,111,Crop production,0,Canada,2,Urban,3,All businesses,2017,-3.1,-12,-4.8,1.7,15.8,94.4,98.4,97.9,86.7,95
137,111,Crop production,15,Altantic,1,Rural,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
138,111,Crop production,15,Altantic,1,Rural,3,All businesses,2017,-3.3,-8.4,-4,0.3,10.4,95.5,99.4,98.8,91,90.9
139,111,Crop production,15,Altantic,2,Urban,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
140,111,Crop production,15,Altantic,2,Urban,3,All businesses,2017,X,X,X,X,X,X,X,X,X,X
141,111,Crop production,10,Newfoundland and Labrador,1,Rural,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
142,111,Crop production,10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,-2.8,-23.1,-4.5,0.4,12.1,81.6,95.8,57.3,75.5,88.8
143,111,Crop production,10,Newfoundland and Labrador,2,Urban,1,Unincorporated,2017,..,..,..,..,..,..,..,..,..,..
